,Credit_History,Loan_Status_Y,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
0,1.0,True,True,False,False,False,False,False,False,False,True,5849,0.0,128.0,360.0
1,1.0,False,True,True,True,False,False,False,False,False,False,4583,1508.0,128.0,360.0
2,1.0,True,True,True,False,False,False,False,True,False,True,3000,0.0,66.0,360.0
3,1.0,True,True,True,False,False,False,True,False,False,True,2583,2358.0,120.0,360.0
4,1.0,True,True,False,False,False,False,False,False,False,True,6000,0.0,141.0,360.0
5,1.0,True,True,True,False,True,False,False,True,False,True,5417,4196.0,267.0,360.0
6,1.0,True,True,True,False,False,False,True,False,False,True,2333,1516.0,95.0,360.0
7,0.0,False,True,True,False,False,True,False,False,True,False,3036,2504.0,158.0,360.0
8,1.0,True,True,True,False,True,False,False,False,False,True,4006,1526.0,168.0,360.0
9,1.0,False,True,True,True,False,False,False,False,True,False,12841,10968.0,349.0,360.0
10,1.0,True,True,True,False,True,False,False,False,False,True,3200,700.0,70.0,360.0
11,1.0,True,True,True,False,True,False,False,False,False,True,2500,1840.0,109.0,360.0
12,1.0,True,True,True,False,True,False,False,False,False,True,3073,8106.0,200.0,360.0
13,1.0,False,True,False,False,False,False,False,False,False,False,1853,2840.0,114.0,360.0
14,1.0,True,True,True,False,True,False,False,False,False,True,1299,1086.0,17.0,120.0
15,1.0,True,True,False,False,False,False,False,False,False,True,4950,0.0,125.0,360.0
16,1.0,True,True,False,True,False,False,True,False,False,True,3596,0.0,100.0,240.0
17,0.0,False,False,False,False,False,False,False,False,False,True,3510,0.0,76.0,360.0
18,1.0,False,True,True,False,False,False,True,False,False,False,4887,0.0,133.0,360.0
19,1.0,True,True,True,False,False,False,False,False,False,True,2600,3500.0,115.0,360.0
20,0.0,False,True,True,False,False,False,True,False,False,True,7660,0.0,104.0,360.0
21,1.0,True,True,True,True,False,False,False,False,False,True,5955,5625.0,315.0,360.0
22,0.0,False,True,True,False,False,False,True,False,True,False,2600,1911.0,116.0,360.0
23,0.0,False,True,True,False,True,False,True,False,False,False,3365,1917.0,112.0,360.0
24,1.0,False,True,True,True,False,False,False,False,True,False,3717,2925.0,151.0,360.0
25,1.0,True,True,True,False,False,False,False,True,True,False,9560,0.0,191.0,360.0
26,1.0,True,True,True,False,False,False,False,False,True,False,2799,2253.0,122.0,360.0
27,1.0,True,True,True,False,True,False,True,False,False,True,4226,1040.0,110.0,360.0
28,1.0,False,True,False,False,False,False,True,False,False,True,1442,0.0,35.0,360.0
29,1.0,True,False,False,False,True,False,False,False,True,False,3750,2083.0,120.0,360.0
30,1.0,False,True,True,True,False,False,False,False,False,True,4166,3369.0,201.0,360.0
31,1.0,False,True,False,False,False,False,False,False,False,True,3167,0.0,74.0,360.0
32,1.0,False,True,False,True,False,False,False,True,False,False,4692,0.0,106.0,360.0
33,1.0,True,True,True,False,False,False,False,False,True,False,3500,1667.0,114.0,360.0
34,1.0,False,True,False,False,False,True,False,False,False,False,12500,3000.0,320.0,360.0
35,1.0,True,True,True,False,False,False,False,False,False,True,2275,2067.0,128.0,360.0
36,0.0,False,True,True,False,False,False,False,False,False,True,1828,1330.0,100.0,360.0
